round,accuracy,loss,train_loss,dissimilarity
0,0.060307,2.557823,,nan
1,0.119518,2.529561,0.6465203075255628,0.2873367112690814
2,0.460526,1.544250,0.8924125054728769,0.43496625741054634
3,0.552632,1.424301,0.5091583244103725,0.3004014073483119
4,0.567982,1.394686,1.0423399164215168,0.2779713514202428
5,0.559211,1.333947,0.6857663086769349,0.3067118153135945
6,0.569079,1.324790,0.6482416590795126,0.265383283768358
7,0.575658,1.276514,0.7385346090047192,0.2688277549577644
8,0.586623,1.284332,0.6680086339295929,0.26061348808707335
9,0.580044,1.302199,0.6686537091153275,0.2353818470134833
10,0.641447,1.201028,0.5094928022736791,0.28114301708406364
11,0.630482,1.194373,0.9547208057481466,0.2616442860218624
12,0.637061,1.165132,0.6727733149067312,0.2232230792128939
13,0.651316,1.097437,0.7661268362803397,0.22439886575718027
14,0.678728,1.048816,0.5063303910031356,0.23620007228976259
15,0.672149,1.040540,0.850517665641078,0.2256990360549984
16,0.650219,1.035084,0.6304002342521613,0.21273352611183013
17,0.651316,1.032760,0.6148882898933188,0.20893533277190413
18,0.652412,1.005978,0.6637296504594354,0.23208590006288904
19,0.664474,0.983759,0.4371344505413341,0.21467563884062366
20,0.683114,0.961708,0.4771062741976943,0.2195890141606879
21,0.685307,0.936026,0.6451955755382524,0.1850506055313609
22,0.684211,0.918561,0.4255422848066918,0.16787941964809142
23,0.671053,0.971204,0.6505438473829691,0.1944754428096194
24,0.657895,0.978052,0.553926730075335,0.1705364192819458
25,0.701754,0.935227,0.616046633934746,0.17895291833966664
26,0.700658,0.926280,0.47677540775533045,0.1612826756512282
27,0.698465,0.910949,0.6459748754922379,0.20612687963044968
28,0.691886,0.891883,0.6061142918565128,0.2257024751250043
29,0.699561,0.911228,0.6316675563148983,0.22855154601711242
30,0.706140,0.893043,0.6029612849651504,0.1654630680135026
31,0.706140,0.889136,0.6313636642385854,0.2361844366818014
32,0.702851,0.874553,0.6917899962926826,0.17869253303777605
33,0.708333,0.864546,0.8298136873675375,0.18622405086416216
34,0.706140,0.863024,0.6532736259984919,0.2117885202821218
35,0.708333,0.858514,0.609120505156086,0.19028647861343825
36,0.705044,0.851502,0.7010473537043349,0.15296283575654762
37,0.709430,0.828830,0.35772611453397146,0.15252503124361783
38,0.709430,0.830186,0.6133740058841729,0.18069364588668502
39,0.711623,0.817723,0.724375268826555,0.15967911916701927
40,0.707237,0.795199,0.478653067788239,0.15847832121222505
41,0.703947,0.791736,0.670116232385238,0.1698091020766401
42,0.716009,0.796614,0.6082280308947049,0.16425411295256784
43,0.687500,0.834422,0.615522830022007,0.14802026328291853
44,0.710526,0.816643,0.46277287970706343,0.1497819843858689
45,0.700658,0.822252,0.5681169613616573,0.15093406850819543
46,0.720395,0.796248,0.7615416742612154,0.12705451413457453
47,0.720395,0.797509,0.3382592791993663,0.15560326990161
48,0.716009,0.800921,0.43481702797513594,0.10806616264421083
49,0.716009,0.786456,0.641698708701373,0.10022843037895449
50,0.730263,0.763409,0.6460281592640709,0.14312050377228286
51,0.725877,0.754399,0.41355776322624926,0.16030050937232707
52,0.720395,0.751046,0.5176273054950382,0.1516369653156473
53,0.724781,0.746403,0.45865809986533085,0.14206742081920273
54,0.722588,0.749058,0.6656221450264816,0.1302383293511049
55,0.721491,0.748484,0.5244810361935195,0.1430282371540755
56,0.734649,0.738700,0.5782320330208489,0.1511569636741994
57,0.730263,0.737342,0.5295864079846686,0.09283875924368146
58,0.728070,0.735860,0.5299023358774351,0.15233599011410992
59,0.732456,0.744529,0.6352273452594103,0.11692539824137005
60,0.739035,0.724165,0.29015359703991156,0.18201492218502488
61,0.737939,0.716711,0.7137245933167299,0.10483865156357429
62,0.742325,0.715495,0.8648126625997615,0.14108841043266826
63,0.737939,0.733807,0.5950069144721036,0.1378403174909543
64,0.743421,0.733188,0.5482913813126555,0.11023778182455579
65,0.745614,0.723069,0.454981649424631,0.14191716764902185
66,0.740132,0.729052,0.5243921894274489,0.12558934918434447
67,0.736842,0.717779,0.6111107813721331,0.1248843231503112
68,0.740132,0.706638,0.7103910266960922,0.15703681578608297
69,0.739035,0.707049,0.6899763061724472,0.11178950589040525
70,0.736842,0.707888,0.38942852602038214,0.14274092653702647
71,0.732456,0.706384,0.6142566961355084,0.08049325352504999
72,0.739035,0.711805,0.5838381784890563,0.1721934695101635
73,0.740132,0.711580,0.5137097324482307,0.11936309474868789
74,0.740132,0.703220,0.5520281547221193,0.12498444647394674
75,0.740132,0.691573,0.32623829554291056,0.14208639930627665
76,0.753289,0.706084,0.590280656499656,0.13779992686217082
77,0.758772,0.677411,0.6468893769552413,0.14349799326296628
78,0.758772,0.676250,0.4766250416436541,0.14336916006016326
79,0.744518,0.681602,0.5430775548143363,0.13741223504488645
80,0.740132,0.686751,0.5003046030921678,0.11397965364936058
81,0.739035,0.683579,0.8258795848343008,0.12342912841583387
82,0.741228,0.690179,0.678821411867154,0.11308798540954756
83,0.757675,0.666831,0.5419864649638544,0.09001362272898938
84,0.766447,0.668680,0.5707923538490208,0.11319073985395273
85,0.762061,0.668383,0.5167178353082332,0.09423069962961228
86,0.745614,0.679670,0.5706347779430947,0.12500456033075869
87,0.747807,0.678003,0.5947647493669456,0.12474432867374259
88,0.754386,0.670479,0.4925164741651991,0.11606820894932629
89,0.750000,0.676484,0.551522948686968,0.08634654340952595
90,0.746711,0.677242,0.47542345837276856,0.11721422646840557
91,0.746711,0.676200,0.4300876552569545,0.07675861404273916
92,0.743421,0.677855,0.4606583235428773,0.0946463211096728
93,0.743421,0.680445,0.38466788581771094,0.11126016677517606
94,0.741228,0.675301,0.6633981897070673,0.10415291720975646
95,0.740132,0.676446,0.415115899619695,0.0914802769260689
96,0.744518,0.669823,0.5555249240108674,0.08287572674051108
97,0.746711,0.665571,0.5925797007543732,0.1285054881995544
98,0.748904,0.664064,0.4703163199457686,0.09338883849365218
99,0.745614,0.663656,0.44386335625095014,0.08375683208337276
100,0.743421,0.660350,0.5124073011818567,0.07140235561004761
101,0.748904,0.659530,0.40399590250344414,0.1169071305560639
102,0.746711,0.657076,0.46500038107609504,0.07068108655448764
103,0.745614,0.657858,0.5257677870282234,0.07438798062261569
104,0.742325,0.659641,0.40490222711545465,0.08024041420838496
105,0.740132,0.659862,0.6462500879175035,0.09439526356404464
106,0.739035,0.663620,0.7897051602619299,0.1325032366230614
107,0.740132,0.679509,0.5680917857852495,0.125731850580982
108,0.741228,0.685122,0.5747814060812972,0.10840844899588863
109,0.774123,0.647479,0.5571957245788414,0.10598291894198725
110,0.771930,0.648174,0.784136785993297,0.11526298649324114
111,0.774123,0.641198,0.303728140644942,0.07854792836666552
112,0.769737,0.646077,0.5009986042620377,0.10389335877734865
113,0.764254,0.634197,0.5083381693628193,0.1039355213862021
114,0.771930,0.636541,0.5579486532817679,0.10626502759922066
115,0.767544,0.632316,0.5754226494289422,0.10973171546787873
116,0.762061,0.632347,0.6494649336651167,0.11963699070010135
117,0.765351,0.631397,0.4976176222458958,0.07728868177108773
118,0.762061,0.632065,0.721834587622267,0.10758232037471004
119,0.773026,0.632882,0.5222096846683703,0.10619407311364393
120,0.774123,0.625564,0.6742132241435406,0.11354796212821672
121,0.765351,0.626305,0.4569622243133459,0.10695169217525219
122,0.764254,0.627655,0.9225993008481624,0.1094553048992675
123,0.780702,0.622781,0.5441813608575627,0.1033699271921901
124,0.770833,0.626075,0.5065099163341522,0.09452259981243233
125,0.762061,0.625323,0.4053734026580909,0.09843179649525377
126,0.760965,0.627912,0.5849564003523924,0.0870342583314689
127,0.758772,0.627619,0.2340924154159494,0.06480760005448129
128,0.757675,0.629567,0.5799928939294214,0.09015176377645634
129,0.759868,0.627363,0.5521534968447085,0.09465440699887437
130,0.770833,0.616003,0.5484923496366161,0.10498313516975684
131,0.769737,0.615963,0.3001770000729851,0.06962256258538184
132,0.777412,0.613261,0.5606016849929254,0.09231752317542263
133,0.777412,0.613073,0.5348055574853687,0.09116879431876872
134,0.777412,0.620996,0.5539659187788111,0.12459791032643706
135,0.773026,0.616138,0.5937544871057555,0.0980547700235962
136,0.770833,0.616784,0.5301879049289139,0.06960950157099498
137,0.771930,0.617205,0.3726334235422853,0.09764294911992466
138,0.764254,0.618106,0.4980473409555066,0.08906902508048944
139,0.764254,0.618044,0.544391917671714,0.07855484088111463
140,0.756579,0.633601,0.6614499995534233,0.09435470204747845
141,0.786184,0.622342,0.5538644629708369,0.12828542619611644
142,0.785088,0.619365,0.6664468886689204,0.08755159150525518
143,0.782895,0.615897,0.6645908146457883,0.07263053472640953
144,0.783991,0.615509,0.5595738404448157,0.11223773821285227
145,0.778509,0.606025,0.5281536102256233,0.08992078710326681
146,0.764254,0.615831,0.5122043314000023,0.08014599245086629
147,0.783991,0.608704,0.4917345081364678,0.09504002465113832
148,0.782895,0.610022,0.6790942460006154,0.0886877131460113
149,0.782895,0.611824,0.5691381013048188,0.11315302541672163
150,0.782895,0.611996,0.5036079847718057,0.12346433228877192
151,0.779605,0.614508,0.5013174883987122,0.09332537566616599
152,0.783991,0.609989,0.7877246792978648,0.09239022817944581
153,0.785088,0.604406,0.8732836547363794,0.11364808123975655
154,0.760965,0.619613,0.503455980156018,0.09508350781734694
155,0.767544,0.609897,0.37423545391814006,0.08999574347052569
156,0.765351,0.609903,0.2894832469388278,0.06720271797010383
157,0.758772,0.619213,0.4778087102611057,0.08276689603502409
158,0.774123,0.603826,0.5164603568157513,0.12298270750462531
159,0.774123,0.602924,0.31607987211656147,0.08352816099741737
160,0.779605,0.602330,0.4778159958281807,0.08648454933372658
