round,accuracy,loss
0,0.026753,2.863550
1,0.318266,1.728676
2,0.343173,1.495546
3,0.359779,1.460675
4,0.376384,1.416174
5,0.384686,1.370434
6,0.380074,1.349260
7,0.470480,1.249828
8,0.482472,1.233625
9,0.421587,1.299469
10,0.413284,1.264526
11,0.448339,1.227176
12,0.484317,1.154812
13,0.497232,1.122399
14,0.500000,1.127941
15,0.463100,1.225566
16,0.434502,1.294164
17,0.494465,1.067838
18,0.498155,1.065988
19,0.504613,1.068462
20,0.488007,1.131280
21,0.487085,1.155215
22,0.595018,0.976725
23,0.589483,0.979198
24,0.591328,0.965265
25,0.593173,0.953973
26,0.585793,0.959762
27,0.594096,0.957901
28,0.604244,0.948560
29,0.603321,0.980365
30,0.598708,0.997864
31,0.630074,0.988690
32,0.519373,1.123767
33,0.519373,1.068649
34,0.530443,1.066983
35,0.548893,0.975768
36,0.571033,0.910834
37,0.536900,1.000063
38,0.533210,1.054958
39,0.546125,1.004708
40,0.538745,1.072544
41,0.539668,1.095378
42,0.546125,1.102688
43,0.539668,1.109793
44,0.550738,0.986227
45,0.545203,0.991777
46,0.554428,0.941749
47,0.651292,0.801942
48,0.662362,0.796201
49,0.655904,0.803289
50,0.674354,0.785360
51,0.674354,0.779624
52,0.667897,0.783719
53,0.559963,0.933729
54,0.556273,0.938404
55,0.573801,0.890989
56,0.598708,0.858892
57,0.617159,0.829245
58,0.621771,0.819099
59,0.610701,0.825814
60,0.669742,0.776226
61,0.651292,0.793792
62,0.690959,0.754262
63,0.594096,0.836292
64,0.601476,0.815393
65,0.608856,0.803339
66,0.594096,0.814232
67,0.585793,0.831661
68,0.557196,0.942603
69,0.547970,0.962318
70,0.548893,0.976746
71,0.559041,0.913558
72,0.665129,0.767925
73,0.664207,0.768929
74,0.666974,0.760030
75,0.678967,0.751264
76,0.671587,0.761134
77,0.678967,0.744638
78,0.690037,0.739061
79,0.695572,0.728733
80,0.692804,0.719392
81,0.640221,0.754138
82,0.662362,0.730622
83,0.657749,0.733406
84,0.662362,0.730955
85,0.676199,0.747371
86,0.671587,0.754483
87,0.664207,0.754749
88,0.637454,0.754049
89,0.607011,0.801581
90,0.622694,0.777757
91,0.631919,0.761304
92,0.657749,0.729017
93,0.651292,0.735799
94,0.703875,0.705361
95,0.690959,0.721649
96,0.684502,0.724749
97,0.692804,0.717928
98,0.695572,0.718855
99,0.708487,0.698583
100,0.700185,0.692641
101,0.667897,0.747516
102,0.674354,0.736532
103,0.683579,0.701656
104,0.642066,0.780410
105,0.641144,0.753633
106,0.658672,0.735087
107,0.637454,0.748931
108,0.657749,0.722736
109,0.702030,0.679214
110,0.702030,0.676902
111,0.699262,0.678114
112,0.666974,0.707722
113,0.683579,0.690958
114,0.662362,0.706853
115,0.596863,0.842044
116,0.599631,0.831610
117,0.602399,0.804688
118,0.613469,0.777481
119,0.600554,0.802983
120,0.666052,0.689800
121,0.678044,0.681735
122,0.690037,0.674402
123,0.649446,0.716720
124,0.643911,0.721249
125,0.629151,0.736829
126,0.692804,0.686980
127,0.627306,0.736968
128,0.622694,0.748070
129,0.635609,0.734791
130,0.616236,0.764873
131,0.607011,0.811374
132,0.608856,0.799343
133,0.711255,0.667795
134,0.606089,0.821483
135,0.620849,0.778156
136,0.652214,0.718085
137,0.630074,0.741412
138,0.631919,0.744823
139,0.634686,0.735331
140,0.662362,0.700269
141,0.651292,0.717283
142,0.660517,0.699744
143,0.710332,0.651307
144,0.715867,0.652183
145,0.708487,0.647661
146,0.710332,0.647807
147,0.702952,0.651094
148,0.697417,0.657797
149,0.671587,0.679109
150,0.666052,0.684037
151,0.702030,0.678658
152,0.712177,0.663201
153,0.652214,0.709681
154,0.706642,0.651300
155,0.571033,1.012150
156,0.566421,1.107038
157,0.576568,0.975875
158,0.576568,0.964077
159,0.702952,0.644817
160,0.706642,0.645854
161,0.707565,0.644796
162,0.703875,0.666885
163,0.708487,0.645071
164,0.717712,0.645280
165,0.724170,0.645591
166,0.717712,0.647040
167,0.698339,0.642900
168,0.692804,0.656771
169,0.686347,0.658530
170,0.690037,0.657548
171,0.671587,0.674804
172,0.672509,0.676638
173,0.659594,0.704112
174,0.595018,0.902264
175,0.624539,0.810932
176,0.632841,0.781850
177,0.659594,0.707067
178,0.661439,0.703091
179,0.672509,0.673797
180,0.676199,0.669030
181,0.614391,0.821631
182,0.608856,0.832864
183,0.676199,0.669728
184,0.662362,0.699600
185,0.638376,0.733934
186,0.640221,0.729395
187,0.636531,0.741165
188,0.712177,0.634387
189,0.711255,0.631823
190,0.723247,0.641317
191,0.724170,0.631619
192,0.707565,0.634314
193,0.717712,0.625922
194,0.720480,0.619837
195,0.724170,0.619255
196,0.720480,0.619629
197,0.720480,0.619467
198,0.719557,0.617962
199,0.709410,0.628351
200,0.715867,0.616896
