round,accuracy,loss
0,0.098137,2.314644
1,0.413665,2.137251
2,0.506832,1.966327
3,0.510559,1.851002
4,0.518012,1.747495
5,0.519255,1.671896
6,0.526708,1.611056
7,0.529193,1.562747
8,0.534161,1.520892
9,0.535404,1.485545
10,0.539130,1.457395
11,0.544099,1.432756
12,0.542857,1.411197
13,0.545342,1.391667
14,0.551553,1.374512
15,0.555280,1.357896
16,0.561491,1.343256
17,0.562733,1.330738
18,0.566460,1.319772
19,0.568944,1.308299
20,0.568944,1.297916
21,0.572671,1.287751
22,0.575155,1.278514
23,0.578882,1.268681
24,0.580124,1.259912
25,0.581366,1.251383
26,0.583851,1.243665
27,0.585093,1.235737
28,0.587578,1.228054
29,0.588820,1.221897
30,0.593789,1.214862
31,0.597516,1.207738
32,0.598758,1.201017
33,0.598758,1.194675
34,0.602484,1.188384
35,0.606211,1.183161
36,0.607453,1.177175
37,0.608696,1.172266
38,0.607453,1.166564
39,0.608696,1.161291
40,0.609938,1.156200
41,0.609938,1.151266
42,0.617391,1.146320
43,0.618634,1.141264
44,0.619876,1.137015
45,0.621118,1.132553
46,0.621118,1.127731
47,0.624845,1.123350
48,0.628571,1.119149
49,0.628571,1.114694
50,0.628571,1.110997
51,0.627329,1.107360
52,0.628571,1.103480
53,0.629814,1.100118
54,0.633540,1.096398
55,0.632298,1.092767
56,0.637267,1.088949
57,0.636025,1.085521
58,0.638509,1.081970
59,0.639752,1.078261
60,0.642236,1.075447
61,0.644720,1.072164
62,0.645963,1.068988
63,0.644720,1.065856
64,0.645963,1.063019
65,0.645963,1.059899
66,0.647205,1.057019
67,0.648447,1.053957
68,0.648447,1.051103
69,0.648447,1.048136
70,0.647205,1.045691
71,0.647205,1.042524
72,0.645963,1.039728
73,0.648447,1.036772
74,0.649689,1.034113
75,0.648447,1.031583
76,0.648447,1.029016
77,0.647205,1.026526
78,0.647205,1.024258
79,0.647205,1.022137
80,0.647205,1.019531
81,0.648447,1.016862
82,0.649689,1.014174
83,0.649689,1.011910
84,0.650932,1.009406
85,0.653416,1.007189
86,0.652174,1.004961
87,0.655901,1.002979
88,0.658385,1.001095
89,0.662112,0.998775
90,0.663354,0.996805
91,0.663354,0.994647
92,0.663354,0.992520
93,0.664596,0.990870
94,0.663354,0.988590
95,0.664596,0.986703
96,0.665839,0.984454
97,0.663354,0.982794
98,0.664596,0.981184
99,0.665839,0.979167
100,0.667081,0.976910
101,0.669565,0.974971
102,0.673292,0.973013
103,0.670807,0.971179
104,0.672050,0.969170
105,0.672050,0.967248
106,0.672050,0.965389
107,0.673292,0.963387
108,0.674534,0.961914
109,0.674534,0.960048
110,0.674534,0.958266
111,0.673292,0.956969
112,0.674534,0.955732
113,0.675776,0.953862
114,0.675776,0.952170
115,0.675776,0.950723
116,0.677019,0.949103
117,0.677019,0.947697
118,0.677019,0.946273
119,0.675776,0.944811
120,0.674534,0.943203
121,0.678261,0.941839
122,0.678261,0.940227
123,0.679503,0.939123
124,0.677019,0.937888
125,0.678261,0.936624
126,0.680745,0.934798
127,0.681988,0.933807
128,0.679503,0.932228
129,0.680745,0.930825
130,0.685714,0.929146
131,0.685714,0.927773
132,0.685714,0.926339
133,0.685714,0.925084
134,0.684472,0.923653
135,0.683230,0.922054
136,0.683230,0.920545
137,0.683230,0.919451
138,0.680745,0.918257
139,0.680745,0.917046
140,0.679503,0.915897
141,0.681988,0.914646
142,0.683230,0.913377
143,0.683230,0.912075
144,0.683230,0.911062
145,0.684472,0.910057
146,0.684472,0.908542
147,0.684472,0.907360
148,0.685714,0.906029
149,0.685714,0.904811
150,0.685714,0.903548
151,0.686957,0.902331
152,0.686957,0.900835
153,0.688199,0.899399
154,0.686957,0.898344
155,0.688199,0.897362
156,0.688199,0.896398
157,0.690683,0.895251
158,0.686957,0.894080
159,0.688199,0.893157
160,0.690683,0.892063
161,0.688199,0.890989
162,0.693168,0.890070
163,0.690683,0.888797
164,0.691925,0.887738
165,0.691925,0.886674
166,0.694410,0.885521
167,0.694410,0.884528
168,0.693168,0.883577
169,0.695652,0.882276
170,0.694410,0.881473
171,0.698137,0.879974
172,0.698137,0.878987
173,0.700621,0.877895
174,0.701863,0.876677
175,0.700621,0.875915
176,0.699379,0.874889
177,0.698137,0.873889
178,0.700621,0.872712
179,0.699379,0.871847
180,0.699379,0.870645
181,0.703106,0.869179
182,0.700621,0.868802
183,0.701863,0.868040
184,0.701863,0.867415
185,0.701863,0.866585
186,0.704348,0.865554
187,0.703106,0.864575
188,0.705590,0.863758
189,0.705590,0.862662
190,0.709317,0.861944
191,0.705590,0.860832
192,0.705590,0.859659
193,0.708075,0.858721
194,0.708075,0.857651
195,0.708075,0.856743
196,0.706832,0.855670
197,0.709317,0.854481
198,0.710559,0.853714
199,0.709317,0.852794
200,0.708075,0.851945
